식별번호,캐릭터 타입,스킬 인덱스,스킬명 (한글),스킬 효과,스킬 레벨,스킬 수치,스킬 기본 범위,스킬 추가 범위,스킬 타입,단일 / 범위 여부,스킬 범위 타입,스킬 추가 효과,스킬 지속시간 
S2004,2,0,에로우샷,빠르게 화살을 날려 25의 데미지를 줍니다.,4,25,5,0,0,0,1,0,0
S2005,2,0,에로우샷,빠르게 화살을 날려 30의 데미지를 줍니다.,5,30,5,0,0,0,1,0,0
S2011,2,1,에로우 드롭,위로 화살을 날려 15의 데미지를 줍니다.,1,15,4,0,0,0,2,0,0
S2012,2,1,에로우 드롭,위로 화살을 날려 20의 데미지를 줍니다.,2,20,4,0,0,0,2,0,0
S2013,2,1,에로우 드롭,위로 화살을 날려 25의 데미지를 줍니다.,3,25,4,0,0,0,2,0,0
S2014,2,1,에로우 드롭,위로 화살을 날려 30의 데미지를 줍니다.,4,30,4,0,0,0,2,0,0
S2015,2,1,에로우 드롭,위로 화살을 날려 35의 데미지를 줍니다.,5,35,4,0,0,0,2,0,0
S2021,2,2,에로우어택,활을 휘둘러 20의 데미지를 줍니다.,1,20,2,0,0,0,0,0,0
S2022,2,2,에로우어택,활을 휘둘러 25의 데미지를 줍니다.,2,25,2,0,0,0,0,0,0
S2023,2,2,에로우어택,활을 휘둘러 30의 데미지를 줍니다.,3,30,2,0,0,0,0,0,0
S2024,2,2,에로우어택,활을 휘둘러 35의 데미지를 줍니다.,4,35,2,0,0,0,0,0,0
S2025,2,2,에로우어택,활을 휘둘러 40의 데미지를 줍니다.,5,40,2,0,0,0,0,0,0
S2031,2,3,에로우레인,위로 독화살을 날려 25의 데미지를 줍니다.,1,25,5,1,0,1,2,0,0
S2032,2,3,에로우레인,위로 독화살을 날려 30의 데미지를 줍니다.,2,30,5,1,0,1,2,0,0
S2033,2,3,에로우레인,위로 독화살을 날려 35의 데미지를 줍니다.,3,35,5,1,0,1,2,0,0
S2034,2,3,에로우레인,위로 독화살을 날려 40의 데미지를 줍니다.,4,40,5,1,0,1,2,0,0
S2035,2,3,에로우레인,위로 독화살을 날려 45의 데미지를 줍니다.,5,45,5,1,0,1,2,0,0
S2041,2,4,플라워샷,화살이 떨어진 곳에 꽃이 피어나 적에게 25의 데미지를 줍니다.,1,25,5,4,0,1,2,0,0
S2042,2,4,플라워샷,화살이 떨어진 곳에 꽃이 피어나 적에게 25의 데미지를 줍니다.,2,30,5,4,0,1,2,0,0
S2043,2,4,플라워샷,화살이 떨어진 곳에 꽃이 피어나 적에게 25의 데미지를 줍니다.,3,35,5,4,0,1,2,0,0
S2044,2,4,플라워샷,화살이 떨어진 곳에 꽃이 피어나 적에게 25의 데미지를 줍니다.,4,40,5,4,0,1,2,0,0
S2045,2,4,플라워샷,화살이 떨어진 곳에 꽃이 피어나 적에게 25의 데미지를 줍니다.,5,45,5,4,0,1,2,0,0
S2051,2,5,윈드스톰,정신을 집중해서 화살을 날려서 바람폭풍을 일으켜 30의 데미지를 줍니다.,1,30,5,4,0,1,2,0,0
S2052,2,5,윈드스톰,정신을 집중해서 화살을 날려서 바람폭풍을 일으켜 35의 데미지를 줍니다.,2,35,5,4,0,1,2,0,0
S2053,2,5,윈드스톰,정신을 집중해서 화살을 날려서 바람폭풍을 일으켜 40의 데미지를 줍니다.,3,40,5,4,0,1,2,0,0
S2054,2,5,윈드스톰,정신을 집중해서 화살을 날려서 바람폭풍을 일으켜 45의 데미지를 줍니다.,4,45,5,4,0,1,2,0,0
S2055,2,5,윈드스톰,정신을 집중해서 화살을 날려서 바람폭풍을 일으켜 50의 데미지를 줍니다.,5,50,5,4,0,1,2,0,0
S2061,2,6,스피릿블레싱,엘프의 공격력을 10 증가시킵니다.,1,10,0,0,2,0,0,0,2
S2062,2,6,스피릿블레싱,엘프의 공격력을 11 증가시킵니다.,2,11,0,0,2,0,0,0,2
S2063,2,6,스피릿블레싱,엘프의 공격력을 12 증가시킵니다.,3,12,0,0,2,0,0,0,2
S2064,2,6,스피릿블레싱,엘프의 공격력을 13 증가시킵니다.,4,13,0,0,2,0,0,0,2
S2065,2,6,스피릿블레싱,엘프의 공격력을 15 증가시킵니다.,5,15,0,0,2,0,0,0,2
S2071,2,7,힐,캐릭터의 체력을 10 회복시킵니다.,1,10,0,0,1,0,0,0,0
S2072,2,7,힐,캐릭터의 체력을 11 회복시킵니다.,2,11,0,0,1,0,0,0,0
S2073,2,7,힐,캐릭터의 체력을 12 회복시킵니다.,3,12,0,0,1,0,0,0,0
S2074,2,7,힐,캐릭터의 체력을 13 회복시킵니다.,4,13,0,0,1,0,0,0,0
S2075,2,7,힐,캐릭터의 체력을 15 회복시킵니다.,5,15,0,0,1,0,0,0,0
